0.15,-0.48,0.34
0.14551016,-0.47735371,0.34
0.141040779,-0.474813683,0.34
0.136592067,-0.472378178,0.34
0.132164232,-0.47004546,0.34
0.127757484,-0.467813789,0.34
0.123372033,-0.465681428,0.34
0.119008087,-0.463646637,0.34
0.114665856,-0.46170768,0.34
0.110345549,-0.459862818,0.34
0.106047375,-0.458110313,0.34
0.101771544,-0.456448426,0.34
0.097518264,-0.45487542,0.34
0.093287745,-0.453389557,0.34
0.089080197,-0.451989098,0.34
0.084895828,-0.450672305,0.34
0.080734848,-0.44943744,0.34
0.076597466,-0.448282765,0.34
0.072483891,-0.447206543,0.34
0.068394333,-0.446207033,0.34
0.064329,-0.4452825,0.34
0.060288102,-0.444431204,0.34
0.056271849,-0.443651408,0.34
0.052280449,-0.442941372,0.34
0.048314112,-0.44229936,0.34
0.044373047,-0.441723633,0.34
0.040457463,-0.441212453,0.34
0.03656757,-0.440764081,0.34
0.032703576,-0.44037678,0.34
0.028865691,-0.440048812,0.34
0.025054125,-0.439778438,0.34
0.021269086,-0.43956392,0.34
0.017510784,-0.43940352,0.34
0.013779428,-0.4392955,0.34
0.010075227,-0.439238123,0.34
0.006398391,-0.439229648,0.34
0.002749128,-0.43926834,0.34
-0.000872352,-0.439352459,0.34
-0.004465839,-0.439480268,0.34
-0.008031125,-0.439650027,0.34
-0.011568,-0.43986,0.34
-0.015076255,-0.440108448,0.34
-0.018555681,-0.440393633,0.34
-0.022006068,-0.440713816,0.34
-0.025427208,-0.44106726,0.34
-0.028818891,-0.441452227,0.34
-0.032180907,-0.441866978,0.34
-0.035513048,-0.442309775,0.34
-0.038815104,-0.44277888,0.34
-0.042086866,-0.443272555,0.34
-0.045328125,-0.443789063,0.34
-0.048538671,-0.444326663,0.34
-0.051718296,-0.44488362,0.34
-0.05486679,-0.445458194,0.34
-0.057983943,-0.446048648,0.34
-0.061069547,-0.446653242,0.34
-0.064123392,-0.44727024,0.34
-0.067145269,-0.447897903,0.34
-0.070134969,-0.448534493,0.34
-0.073092282,-0.449178271,0.34
-0.076017,-0.4498275,0.34
-0.078908913,-0.450480442,0.34
-0.081767811,-0.451135358,0.34
-0.084593486,-0.45179051,0.34
-0.087385728,-0.45244416,0.34
-0.090144328,-0.45309457,0.34
-0.092869077,-0.453740003,0.34
-0.095559769,-0.454378724,0.34
-0.098216402,-0.455009322,0.34
-0.100839292,-0.455630882,0.34
-0.103428781,-0.456242531,0.34
-0.105985212,-0.456843397,0.34
-0.108508928,-0.457432608,0.34
-0.111000271,-0.458009291,0.34
-0.113459583,-0.458572573,0.34
-0.115887207,-0.459121582,0.34
-0.118283486,-0.459655446,0.34
-0.120648762,-0.460173292,0.34
-0.122983378,-0.460674248,0.34
-0.125287677,-0.461157442,0.34
-0.127562,-0.461622,0.34
-0.129806691,-0.462067051,0.34
-0.132022092,-0.462491722,0.34
-0.134208545,-0.46289514,0.34
-0.136366394,-0.463276434,0.34
-0.13849598,-0.46363473,0.34
-0.140597647,-0.463969157,0.34
-0.142671737,-0.464278842,0.34
-0.144718592,-0.464562912,0.34
-0.146738555,-0.464820495,0.34
-0.148731969,-0.465050719,0.34
-0.150699176,-0.465252711,0.34
-0.152640518,-0.465425598,0.34
-0.154556339,-0.465568509,0.34
-0.15644698,-0.46568057,0.34
-0.158312785,-0.46576091,0.34
-0.160154096,-0.465808656,0.34
-0.161971255,-0.465822935,0.34
-0.163764606,-0.465802876,0.34
-0.16553449,-0.465747605,0.34
-0.16728125,-0.46565625,0.34
-0.169005229,-0.465527939,0.34
-0.170706769,-0.465361799,0.34
-0.172386213,-0.465156958,0.34
-0.174043904,-0.464912544,0.34
-0.175680184,-0.464627684,0.34
-0.177295395,-0.464301505,0.34
-0.17888988,-0.463933135,0.34
-0.180463982,-0.463521702,0.34
-0.182018043,-0.463066333,0.34
-0.183552406,-0.462566156,0.34
-0.185067414,-0.462020299,0.34
-0.186563408,-0.461427888,0.34
-0.188040732,-0.460788052,0.34
-0.189499728,-0.460099918,0.34
-0.190940738,-0.459362613,0.34
-0.192364106,-0.458575266,0.34
-0.193770173,-0.457737003,0.34
-0.195159283,-0.456846953,0.34
-0.196531778,-0.455904243,0.34
-0.197888,-0.454908,0.34
-0.199228292,-0.453857352,0.34
-0.200552997,-0.452751427,0.34
-0.201862457,-0.451589352,0.34
-0.203157014,-0.450370254,0.34
-0.204437012,-0.449093262,0.34
-0.205702792,-0.447757502,0.34
-0.206954698,-0.446362103,0.34
-0.208193072,-0.444906192,0.34
-0.209418256,-0.443388896,0.34
-0.210630594,-0.441809344,0.34
-0.211830427,-0.440166662,0.34
-0.213018098,-0.438459978,0.34
-0.21419395,-0.43668842,0.34
-0.215358344,-0.434851256,0.34
-0.216511863,-0.432949387,0.34
-0.217655232,-0.430984768,0.34
-0.218789178,-0.428959372,0.34
-0.219914428,-0.426875172,0.34
-0.221031709,-0.424734141,0.34
-0.22214175,-0.42253825,0.34
-0.223245277,-0.420289473,0.34
-0.224343017,-0.417989783,0.34
-0.225435699,-0.415641151,0.34
-0.226524048,-0.413245552,0.34
-0.227608793,-0.410804957,0.34
-0.228690661,-0.408321339,0.34
-0.229770379,-0.405796671,0.34
-0.230848674,-0.403232926,0.34
-0.231926274,-0.400632076,0.34
-0.233003906,-0.397996094,0.34
-0.234082298,-0.395326952,0.34
-0.235162176,-0.392626624,0.34
-0.236244268,-0.389897082,0.34
-0.237329302,-0.387140298,0.34
-0.238418004,-0.384358246,0.34
-0.239511102,-0.381552898,0.34
-0.240609323,-0.378726227,0.34
-0.241713395,-0.375880205,0.34
-0.242824045,-0.373016805,0.34
-0.243942,-0.370138,0.34
-0.245067987,-0.367245763,0.34
-0.246202735,-0.364342065,0.34
-0.247346969,-0.361428881,0.34
-0.248501418,-0.358508182,0.34
-0.249666809,-0.355581941,0.34
-0.250843868,-0.352652132,0.34
-0.252033324,-0.349720726,0.34
-0.253235904,-0.346789696,0.34
-0.254452335,-0.343861015,0.34
-0.255683344,-0.340936656,0.34
-0.256929658,-0.338018592,0.34
-0.258192006,-0.335108794,0.34
-0.259471114,-0.332209236,0.34
-0.260767709,-0.329321891,0.34
-0.26208252,-0.32644873,0.34
-0.263416272,-0.323591728,0.34
-0.264769694,-0.320752856,0.34
-0.266143513,-0.317934087,0.34
-0.267538456,-0.315137394,0.34
-0.26895525,-0.31236475,0.34
-0.270394623,-0.309618127,0.34
-0.271857302,-0.306899498,0.34
-0.273344015,-0.304210835,0.34
-0.274855488,-0.301554112,0.34
-0.276392449,-0.298931301,0.34
-0.277955626,-0.296344374,0.34
-0.279545745,-0.293795305,0.34
-0.281163534,-0.291286066,0.34
-0.28280972,-0.28881863,0.34
-0.284485031,-0.286394969,0.34
-0.286190194,-0.284017056,0.34
-0.287925936,-0.281686864,0.34
-0.289692984,-0.279406366,0.34
-0.291492067,-0.277177533,0.34
-0.29332391,-0.27500234,0.34
-0.295189242,-0.272882758,0.34
-0.29708879,-0.27082076,0.34
-0.29902328,-0.26881832,0.34
-0.300993441,-0.266877409,0.34
