[[0. 0. 0. 0. 0. 0.]]
[[ 2.14988997e-04  1.06281524e-03 -9.26193287e-03 -1.36245880e-04
  -3.16379434e-04  5.12261056e-05]]
[[-1.72273195e-03 -1.65508721e-04 -1.02353028e-02  1.50504609e-04
  -3.32418351e-04  6.90753417e-05]]
[[-9.35000504e-04  3.66006723e-04 -8.00449443e-03  1.95894896e-04
  -4.42283206e-04  6.87295808e-05]]
[[-0.00035466  0.00054993 -0.00908289  0.00015398 -0.00033875  0.00017404]]
[[ 1.06251107e-03  1.90278956e-03 -8.60370659e-03  5.17002607e-05
  -3.82758282e-04  1.47540438e-04]]
[[ 2.76679625e-06  1.66161591e-03 -8.25610876e-03  4.56433162e-04
  -3.63465029e-04  7.59140416e-05]]
[[-1.43701414e-03  5.72931208e-04 -9.54522452e-03  3.01824590e-04
  -4.31446313e-04  4.71168318e-05]]
[[-3.13613695e-04  9.60063045e-04 -1.08370372e-02  2.27010988e-04
  -3.30846526e-04  1.62968642e-05]]
[[-9.67466960e-04 -1.59063741e-03 -1.16489022e-02  1.26757925e-04
  -3.26060555e-04 -1.39979704e-05]]
[[-0.21135178  0.04414855  0.05489198  0.02586517  0.14788408  0.00430005]]
[[-0.2132793   0.0421612   0.05356244  0.02456966  0.14856227  0.00442385]]
[[-0.21437284  0.04356216  0.05540929  0.02485221  0.14824959  0.00435469]]
[[-0.2146799   0.04494592  0.05381299  0.02599193  0.14790161  0.00428704]]
[[-0.21574332  0.04322962  0.05321     0.02565737  0.14796059  0.00437248]]
[[-0.21729736  0.04236246  0.05299965  0.02448921  0.14852939  0.00449525]]
[[-0.21865736  0.04217503  0.05033048  0.02522788  0.14825984  0.0045199 ]]
[[-0.21601074  0.04460802  0.04978062  0.02628049  0.1477915   0.00440415]]
[[-0.21481774  0.04404312  0.04796261  0.02581432  0.1480827   0.00450946]]
[[-0.2171913   0.04267258  0.04784251  0.02460112  0.14853523  0.00460154]]
[[-0.21942642  0.04305264  0.04875754  0.02529371  0.14840456  0.00457667]]
[[-0.21983448  0.04356811  0.04699908  0.02641058  0.14782706  0.00445715]]
[[-0.2194667   0.04277948  0.04661167  0.02565277  0.14830415  0.00448809]]
[[-0.22031281  0.03949299  0.0460786   0.02488142  0.14861946  0.0045211 ]]
[[-0.22127439  0.04022887  0.04523402  0.02574038  0.14832107  0.0044737 ]]
[[-0.21897713  0.04295972  0.04431372  0.02650429  0.14802178  0.00439548]]
[[-0.21951603  0.04272025  0.04319452  0.02579745  0.14849049  0.00449063]]
[[-0.21899092  0.04416138  0.04345829  0.02501007  0.14869519  0.00444135]]
[[-0.21753912  0.04340572  0.04357885  0.02592661  0.1483849   0.00436058]]
[[-0.21774261  0.04499143  0.04286437  0.02662955  0.14813692  0.00426507]]
[[-0.2196255   0.04288841  0.04216498  0.02590587  0.1483226   0.00434752]]
[[-0.21943438  0.04508375  0.04310243  0.02525879  0.14878189  0.00440637]]
[[-0.21961226  0.04732934  0.04394436  0.02596387  0.14835032  0.00432069]]
[[-0.21929993  0.0501791   0.04502742  0.02663927  0.14822283  0.00423064]]
[[-0.22221704  0.0479261   0.04485415  0.02573449  0.14849376  0.0043086 ]]
[[-0.22348436  0.04632442  0.04522277  0.02537601  0.14881587  0.00442453]]
[[-0.22232002  0.04640819  0.04630982  0.02620778  0.14833838  0.0043232 ]]
[[-0.22007318  0.0480364   0.04694083  0.02670267  0.14840441  0.00426491]]
[[-0.22033098  0.04615536  0.04741986  0.0259285   0.14854821  0.00431939]]
[[-0.21953238  0.04603993  0.04593421  0.02554444  0.14896073  0.00441247]]
[[-0.21894128  0.04539218  0.04721214  0.02653811  0.148366    0.00433664]]
[[-0.2193058   0.04658507  0.04793577  0.02670054  0.14848965  0.00436786]]
[[-0.21753103  0.04520951  0.04914261  0.02600937  0.14862409  0.00439456]]
[[-0.21635267  0.04501084  0.04878455  0.02582817  0.1487764   0.00440507]]
[[-0.215165    0.04779452  0.0487325   0.02654038  0.14853693  0.00434398]]
[[-0.21274347  0.04864325  0.04924753  0.02679431  0.14829272  0.00438092]]
[[-0.21248888  0.04739709  0.0491584   0.02588318  0.14867837  0.00439629]]
[[-0.21267434  0.04785991  0.04883649  0.02559903  0.14864329  0.00440689]]
[[-0.21122669  0.04886038  0.05162539  0.0263944   0.14844341  0.00434465]]
[[-0.21167806  0.04846235  0.05190732  0.02648857  0.14827157  0.00433535]]
[[-0.21064288  0.04699525  0.05264629  0.02576998  0.14856044  0.00441713]]
[[-0.21028218  0.04777208  0.05233744  0.02548377  0.14870045  0.00446738]]
[[-0.21102918  0.04754491  0.04873042  0.02622252  0.14836479  0.00447658]]
[[-0.21062071  0.04886502  0.0502236   0.02650074  0.14821745  0.00447147]]
[[-0.21093099  0.04701548  0.0521028   0.02566896  0.14850978  0.00453484]]
[[-0.21044401  0.04743656  0.05191741  0.02565048  0.14863474  0.00450333]]
[[-0.20985766  0.04877631  0.05173175  0.02617357  0.14830608  0.00447051]]
[[-0.20963177  0.04957416  0.05381686  0.02637231  0.14827439  0.00443319]]
[[-0.2095709   0.04902518  0.05523616  0.02561059  0.1486471   0.00449884]]
[[-0.21147344  0.04863028  0.05506263  0.02573672  0.14853636  0.00452417]]
[[-0.20915647  0.0495782   0.05884121  0.0265868   0.14828884  0.00450532]]
[[-0.20556777  0.05086833  0.0617301   0.02627088  0.14839325  0.00449255]]
[[-0.20539839  0.05130797  0.06407847  0.02561529  0.1487494   0.00457658]]
[[-0.20720968  0.05023564  0.06359768  0.02589113  0.14852371  0.00451856]]
[[-0.20736553  0.05184056  0.06397594  0.02647131  0.14834449  0.00449317]]
[[-0.20858842  0.04940724  0.06511005  0.02620813  0.14840426  0.0044949 ]]
[[-0.20897302  0.04942992  0.06574076  0.0256324   0.1486309   0.00454459]]
[[-0.20822438  0.05018421  0.06850782  0.02590889  0.14855761  0.00449475]]
[[-0.20966942  0.05250649  0.06983281  0.0262347   0.14832514  0.00454851]]
